directory,competitors_listed_of_214,pct,domain_rating
paper.li,19,9,77.0
usatoday.com,18,8,92.0
geebo.com,18,8,54.0
listalegal.com,18,8,52.0
github.io,18,8,94.0
glassdoor.com,18,8,91.0
appspot.com,18,8,90.0
101settlement.com,18,8,55.0
bizjournals.com,18,8,91.0
regionaldirectory.us,18,8,46.0
azurewebsites.net,18,8,92.0
botw.org,18,8,72.0
dyrectory.com,17,8,58.0
slintel.com,17,8,57.0
co.com,17,8,91.0
lawyerland.com,17,8,62.0
waze.com,17,8,92.0
contractornearyou.com,17,8,66.0
texterity.com,17,8,71.0
secureserver.net,17,8,92.0
pr.business,17,8,71.0
similartech.com,17,8,71.0
womply.com,17,8,69.0
getfave.com,17,8,47.0
wikipedia.org,17,8,97.0
wogibtswas.de,17,8,56.0
apsense.com,16,7,73.0
yellow.place,16,7,71.0
firebaseapp.com,16,7,88.0
cbs8.com,16,7,78.0
experience.com,16,7,76.0
growthzoneapp.com,16,7,79.0
hoovers.com,16,7,74.0
intelius.com,16,7,74.0
datafox.com,16,7,50.0
localdatabase.com,16,7,45.0
homeblue.com,16,7,58.0
findglocal.com,15,7,69.0
newsbreak.com,15,7,83.0
findattorneys.org,15,7,57.0
showmelocal.com,15,7,78.0
zappenin.com,15,7,55.0
clicktohigh.com,15,7,61.0
in.net,15,7,91.0
lawyer4criminaldefense.com,15,7,63.0
uscity.net,15,7,71.0
