niche,city,state,pop,vol,cpc,lead_value,query,name_conflict,local_in_top10,directories_in_top10,top5_pages_med,top5_pages_min,top10_pages_med,top10_pages_min,winner_words_med,winners_measured,score
wildlife removal,Jacksonville,NC,69079,170,20.26,3444,wildlife removal jacksonville,BIGGER same name,8,2,998.0,285,499,164,2058,4,0
junk removal,Columbus,IN,45775,880,15.88,13974,junk removal columbus,BIGGER same name,4,6,995.0,148,789,148,1121,3,0
dumpster rental,Wilmington,DE,71525,880,6.08,5350,dumpster rental wilmington,BIGGER same name,6,4,77948,77948,77948,77948,913,1,0
dryer vent cleaning,Portland,ME,66318,260,9.58,2491,dryer vent cleaning portland,BIGGER same name,5,5,5036.5,454,5036,454,2002,2,0
auto glass repair,Jacksonville,NC,69079,390,20.48,7987,auto glass repair jacksonville,BIGGER same name,5,5,1874.5,493,491,84,646,4,0
junk removal,Jacksonville,NC,69079,1000,17.9,17900,junk removal jacksonville,BIGGER same name,6,4,645.0,501,645,501,956,2,0
chimney sweep,Charleston,WV,50821,170,12.04,2047,chimney sweep charleston,BIGGER same name,6,4,434.5,283,434,283,859,2,0
dumpster rental,Huntsville,TX,39795,590,10.1,5959,dumpster rental huntsville,BIGGER same name,6,4,2588,2588,789,426,1010,3,0
junk removal,Madison,AL,45799,390,16.3,6357,junk removal madison,BIGGER same name,6,4,789,789,789,789,1121,1,0
wildlife removal,Columbus,IN,45775,90,19.72,1775,wildlife removal columbus,BIGGER same name,8,2,592.0,208,592,208,1398,2,0
dumpster rental,Columbus,IN,45775,2400,7.82,18768,dumpster rental columbus,BIGGER same name,6,4,720,250,426,39,963,5,0
dumpster rental,Charleston,WV,50821,880,7.54,6635,dumpster rental charleston,BIGGER same name,5,5,439.0,129,749,129,936,3,0
spray foam insulation,Huntsville,TX,39795,70,39.49,2764,spray foam insulation huntsville,BIGGER same name,7,3,651,651,651,651,2062,1,0
air duct cleaning,Portland,ME,66318,480,16.08,7718,air duct cleaning portland,BIGGER same name,6,4,4080.0,454,7706,454,1894,3,0
wildlife removal,Greenville,SC,61397,70,24.76,1733,wildlife removal greenville,BIGGER same name,8,2,1212.5,714,714,203,1102,3,0
auto glass repair,Salem,MA,42544,110,14.76,1624,auto glass repair salem,BIGGER same name,5,5,493,260,376,260,1024,4,0
dryer vent cleaning,Wilmington,DE,71525,170,21.41,3640,dryer vent cleaning wilmington,BIGGER same name,6,4,3999.0,292,4160,292,1388,4,0
junk removal,Decatur,AL,55816,1600,12.22,19552,junk removal decatur,BIGGER same name,5,5,476.5,164,476,164,1121,2,0
siding repair,Portland,ME,66318,170,33.5,5695,siding repair portland,BIGGER same name,6,4,794,794,5974,794,1179,2,0
air duct cleaning,Wilmington,DE,71525,260,18.18,4727,air duct cleaning wilmington,BIGGER same name,6,4,4160.5,615,1767,615,1787,3,0
basement waterproofing,Portland,ME,66318,90,37.8,3402,basement waterproofing portland,BIGGER same name,6,4,265,265,265,265,907,1,0
