niche,city,state,pop,vol,cpc,lead_value,query,name_conflict,local_in_top10,directories_in_top10,top5_pages_med,top5_pages_min,top10_pages_med,top10_pages_min,winner_words_med,winners_measured,score
asbestos removal,Cleveland,TN,42774,110,29.48,3243,asbestos removal cleveland,BIGGER same name,7,3,11.5,8,15,8,403,3,61
air duct cleaning,Fort Myers,FL,68190,260,33.71,8765,air duct cleaning fort myers,clean,6,4,155,11,155,11,644,3,61
gutter installation,Asheville,NC,87236,90,46.76,4208,gutter installation asheville,clean,6,4,170.0,18,322,18,1032,3,61
basement waterproofing,Columbus,IN,45775,260,56.18,14607,basement waterproofing columbus,BIGGER same name,7,3,18,10,41,10,737,4,61
air duct cleaning,Schaumburg,IL,74907,260,32.1,8346,air duct cleaning schaumburg,clean,6,4,95,59,169,59,667,4,61
chimney sweep,Lawrence,KS,90811,70,33.46,2342,chimney sweep lawrence,same name elsewhere,5,5,46.5,24,46,24,369,2,60.6
window tinting,San Marcos,CA,89387,260,7.12,1851,window tinting san marcos,same name elsewhere,6,4,62.0,7,106,7,1188,5,60.3
septic tank pumping,Ocala,FL,57468,170,16.31,2773,septic tank pumping ocala,clean,6,4,235.0,5,235,5,661,5,59.5
window tinting,Lancaster,OH,39325,390,5.51,2149,window tinting lancaster,BIGGER same name,5,5,5.5,5,49,5,856,4,59.3
dryer vent cleaning,Flower Mound,TX,68609,70,32.36,2265,dryer vent cleaning flower mound,clean,7,3,177,1,337,1,842,4,59.1
chimney sweep,Annapolis,MD,38722,720,19.57,14090,chimney sweep annapolis,clean,7,3,263.5,9,60,9,521,3,59
dumpster rental,Sarasota,FL,53326,480,13.73,6590,dumpster rental sarasota,clean,7,3,136.0,26,136,26,1001,4,59
air duct cleaning,Cypress,CA,49087,140,31.79,4451,air duct cleaning cypress,clean,7,3,101.5,34,154,34,1062,6,59
air duct cleaning,Rockwall,TX,40922,140,83.78,11729,air duct cleaning rockwall,clean,7,3,140,36,100,36,842,4,59
dumpster rental,Ocala,FL,57468,1000,8.61,8610,dumpster rental ocala,clean,7,3,183,50,183,50,884,3,59
hardwood floor refinishing,Portland,ME,66318,210,31.54,6623,hardwood floor refinishing portland,BIGGER same name,6,4,4.5,4,4,3,242,3,58
junk removal,Bremerton,WA,39056,320,23.42,7494,junk removal bremerton,clean,5,5,97,97,443,97,2347,2,58
pressure washing,Fayetteville,AR,78960,260,13.92,3619,pressure washing fayetteville,BIGGER same name,6,4,7,4,10,4,1656,4,58
junk removal,Palm Coast,FL,78740,590,13.1,7729,junk removal palm coast,clean,5,5,398.0,7,7,6,464,3,58
popcorn ceiling removal,Jacksonville,NC,69079,90,32.88,2959,popcorn ceiling removal jacksonville,BIGGER same name,6,4,10,4,53,4,811,4,57.7
auto glass repair,Beaverton,OR,93542,70,24.21,1695,auto glass repair beaverton,clean,6,4,149,6,153,6,845,4,57.3
pressure washing,Boynton Beach,FL,71097,170,9.57,1627,pressure washing boynton beach,clean,6,4,37,37,29,21,515,2,56.8
chimney sweep,Lancaster,PA,59325,260,6.65,1729,chimney sweep lancaster,BIGGER same name,5,5,20,5,20,5,642,5,56.5
hardwood floor refinishing,Cleveland,TN,42774,110,15.71,1728,hardwood floor refinishing cleveland,BIGGER same name,5,5,6.5,1,12,1,734,3,56.5
towing service,Auburn,WA,74860,480,7,3360,towing service auburn,same name elsewhere,7,3,175,8,672,8,571,4,56
air duct cleaning,Castle Rock,CO,53063,210,23.22,4876,air duct cleaning castle rock,clean,6,4,175,90,175,90,989,3,56
stucco repair,Santa Fe,NM,69976,260,13.18,3427,stucco repair santa fe,clean,6,4,149.5,48,48,16,694,3,56
dumpster rental,Warner Robins,GA,72531,480,8.95,4296,dumpster rental warner robins,clean,6,4,216.5,7,67,7,899,3,56
pressure washing,Summerville,SC,46074,390,9.94,3877,pressure washing summerville,clean,6,4,139.5,78,78,14,497,3,56
window tinting,Greenville,SC,61397,590,5.96,3516,window tinting greenville,BIGGER same name,7,3,12.0,5,18,5,716,3,56
air duct cleaning,Downers Grove,IL,49670,170,50.53,8590,air duct cleaning downers grove,clean,6,4,102,97,172,97,461,4,56
dryer vent cleaning,Conroe,TX,63032,70,25.28,1770,dryer vent cleaning conroe,clean,7,3,138,10,391,10,739,4,55.8
hardwood floor refinishing,Columbus,IN,45775,170,13.02,2213,hardwood floor refinishing columbus,BIGGER same name,7,3,6,3,210,3,642,6,55.8
chimney sweep,New Braunfels,TX,63279,70,27.15,1900,chimney sweep new braunfels,clean,5,5,198,13,198,13,601,3,55.7
septic tank pumping,Fort Myers,FL,68190,140,12.41,1737,septic tank pumping fort myers,clean,7,3,53.0,45,55,45,862,5,55.6
dryer vent cleaning,Fort Myers,FL,68190,140,15.43,2160,dryer vent cleaning fort myers,clean,6,4,155,11,155,5,644,5,55.4
chimney sweep,Lancaster,OH,39325,260,6.65,1729,chimney sweep lancaster,BIGGER same name,6,4,23,5,23,1,1138,5,54.5
auto glass repair,Springfield,OR,60177,480,5.66,2717,auto glass repair springfield,BIGGER same name,7,3,15,6,254,6,331,4,54.1
air duct cleaning,Lakewood,CA,81121,170,50.7,8619,air duct cleaning lakewood,BIGGER same name,8,2,2,1,111,1,1671,6,54
pressure washing,Lancaster,TX,38071,90,22.65,2038,pressure washing lancaster,BIGGER same name,5,5,18,11,18,11,1240,4,53.6
pressure washing,Portland,ME,66318,320,6.18,1978,pressure washing portland,BIGGER same name,5,5,18,8,295,8,1079,4,53.2
pressure washing,Conroe,TX,63032,260,15.51,4033,pressure washing conroe,clean,5,5,341.5,12,154,12,655,3,53
dumpster rental,Plymouth,MN,73987,590,8.79,5186,dumpster rental plymouth,clean,5,5,77,77,39012,77,514,2,53
dumpster rental,Marietta,GA,59089,480,10.17,4882,dumpster rental marietta,clean,5,5,227.5,29,29,7,899,3,53
roof cleaning,Portland,ME,66318,390,33.98,13252,roof cleaning portland,BIGGER same name,6,4,20,18,20,18,630,3,53
junk removal,Georgetown,TX,54898,320,23.31,7459,junk removal georgetown,clean,5,5,216,36,451,36,890,4,53
chimney sweep,Salem,MA,42544,170,20.5,3485,chimney sweep salem,BIGGER same name,6,4,21.0,8,21,8,494,2,53
fence installation,Lancaster,OH,39325,210,14.25,2992,fence installation lancaster,BIGGER same name,6,4,1,1,19,1,721,2,52.9
chimney sweep,Franklin,TN,68886,90,36.69,3302,chimney sweep franklin,clean,8,2,135,31,302,1,865,6,52
dryer vent cleaning,Downers Grove,IL,49670,90,26.19,2357,dryer vent cleaning downers grove,clean,6,4,178,97,140,97,665,4,51.7
roof cleaning,Puyallup,WA,38609,170,16.36,2781,roof cleaning puyallup,clean,6,4,504,5,504,5,1553,5,51.5
air duct cleaning,Littleton,CO,44275,210,32.45,6815,air duct cleaning littleton,clean,6,4,175,175,90,1,1689,3,51
dumpster rental,New Braunfels,TX,63279,390,11.3,4407,dumpster rental new braunfels,clean,6,4,202.0,13,65,13,623,5,51
basement waterproofing,Lancaster,PA,59325,70,60.92,4264,basement waterproofing lancaster,BIGGER same name,7,3,7,7,7,7,778,1,51
dumpster rental,Albany,GA,76185,590,8.51,5021,dumpster rental albany,BIGGER same name,7,3,13,13,315,13,793,5,51
septic tank pumping,North Miami,FL,61007,260,215.13,55934,septic tank pumping north miami,clean,6,4,77.0,66,77,66,1647,2,51
roof cleaning,Boca Raton,FL,89407,140,37.69,5277,roof cleaning boca raton,clean,6,4,127,56,56,13,748,5,51
basement waterproofing,Lancaster,TX,38071,70,60.92,4264,basement waterproofing lancaster,BIGGER same name,7,3,8.5,7,8,7,1127,2,51
air duct cleaning,Marietta,GA,59089,210,29.69,6235,air duct cleaning marietta,clean,6,4,287.5,34,61,34,1462,4,51
dryer vent cleaning,Pensacola,FL,52703,110,20.37,2241,dryer vent cleaning pensacola,clean,6,4,219.5,24,371,24,892,5,50.9
pressure washing,Sanford,FL,56002,110,15.92,1751,pressure washing sanford,clean,7,3,183,44,183,44,1146,3,50.7
auto glass repair,Fort Myers,FL,68190,170,11.93,2028,auto glass repair fort myers,clean,8,2,69,55,1662,55,1489,4,50.5
junk removal,Upland,CA,75413,320,21.33,6826,junk removal upland,clean,5,5,789,5,449,5,730,4,50
chimney sweep,Hagerstown,MD,40612,90,26.69,2402,chimney sweep hagerstown,clean,7,3,135,79,135,12,714,5,50.0
stump grinding,Jacksonville,NC,69079,110,15.81,1739,stump grinding jacksonville,BIGGER same name,6,4,9.5,9,10,9,358,3,49.6
pressure washing,Lancaster,PA,59325,90,22.65,2038,pressure washing lancaster,BIGGER same name,7,3,18,11,18,11,926,4,49.6
stump grinding,Portland,ME,66318,140,11.79,1651,stump grinding portland,BIGGER same name,6,4,5,4,5,4,986,3,49.0
basement waterproofing,Cleveland,TN,42774,210,48.01,10082,basement waterproofing cleveland,BIGGER same name,6,4,18,18,18,18,1127,1,48
dumpster rental,Kissimmee,FL,65173,480,12.3,5904,dumpster rental kissimmee,clean,5,5,313.5,7,313,7,1197,2,48
air duct cleaning,Pensacola,FL,52703,260,21.14,5496,air duct cleaning pensacola,clean,5,5,341.5,68,68,45,1051,3,48
pressure washing,Huntsville,TX,39795,320,13.12,4198,pressure washing huntsville,BIGGER same name,5,5,35.5,26,45,26,1009,3,48
fence installation,Portland,ME,66318,70,25.45,1782,fence installation portland,BIGGER same name,7,3,25,10,99,10,906,5,47.9
pressure washing,Lancaster,OH,39325,90,22.65,2038,pressure washing lancaster,BIGGER same name,7,3,46,8,18,8,931,6,47.6
siding repair,Marietta,GA,59089,70,51.72,3620,siding repair marietta,clean,8,2,141,110,153,110,1212,4,47
dryer vent cleaning,Melbourne,FL,77508,70,33.02,2311,dryer vent cleaning melbourne,clean,6,4,52,52,52,52,734,1,46.4
gutter installation,Wilmington,DE,71525,70,61.18,4283,gutter installation wilmington,BIGGER same name,6,4,30,16,23,11,683,4,46
window tinting,Sarasota,FL,53326,880,11.54,10155,window tinting sarasota,clean,7,3,31086.0,12,22,12,1108,3,46
air duct cleaning,Lakewood,OH,51143,170,50.7,8619,air duct cleaning lakewood,BIGGER same name,6,4,68,1,154,1,1499,6,46
window tinting,Lake Charles,LA,74024,390,6.67,2601,window tinting lake charles,clean,5,5,305.0,28,28,6,556,3,45.3
concrete leveling,Cleveland,TN,42774,70,27.87,1951,concrete leveling cleveland,BIGGER same name,9,1,18,16,75,16,863,5,45.0
window tinting,Roseville,MI,47555,390,6.35,2476,window tinting roseville,BIGGER same name,4,6,37.5,2,37,2,421,2,44.5
stucco repair,Jacksonville,NC,69079,260,7.69,1999,stucco repair jacksonville,BIGGER same name,6,4,30.0,9,30,9,870,4,44.3
dryer vent cleaning,Jacksonville,NC,69079,390,25.36,9890,dryer vent cleaning jacksonville,BIGGER same name,7,3,33,24,28,10,745,4,44
